Timing,Text
10,"En el mundo real, a veces las cosas no salen bien. Es importante tener historias con un final negativo para aprender a manejar la ansiedad cuando surgen situaciones negativas."
15,"¿Por qué rellenas palabras con letras? Al rellenar repetidamente las letras que faltan para completar palabras positivas, neutras o negativas, el cerebro desarrolla patrones de pensamiento flexible para reducir el pensamiento rígido."
19,"Con la función de favoritos, ¡puedes guardar las mejores historias que te ayudan a lidiar con la ansiedad! Así, todas tus historias favoritas estarán en un solo lugar y serán fáciles de encontrar."
20,"Cuanto más te sumerjas en la historia, más posibilidades tendrás de beneficiarte de nuestro programa: imagínate realmente en la situación en cuestión."
25,"Recuerda, cuanto más practiques pensar en las situaciones de nuevas formas en nuestra aplicación, ¡más podrás pensar positivamente sobre las situaciones aterradoras de tu vida!"
29,"Si te gusta esta historia, ¡guárdala en tus favoritos y vuelve a ella fácilmente! Practicar con situaciones que realmente te surjan hace que el programa sea aún mejor."
30,"En el mundo real, a veces las cosas no salen bien. Es importante tener historias con un final negativo para aprender a manejar la ansiedad cuando surgen situaciones negativas."
35,"Cuanto más te sumerjas en la historia, más posibilidades tendrás de beneficiarte de nuestro programa: imagínate realmente en la situación en cuestión."
39,"Con la función de favoritos, ¡puedes guardar las mejores historias que te ayudan a lidiar con la ansiedad! Así, todas tus historias favoritas estarán en un solo lugar y serán fáciles de encontrar."
45,"¿Por qué rellenas palabras con letras? Al rellenar repetidamente las letras que faltan para completar palabras positivas, neutras o negativas, el cerebro desarrolla patrones de pensamiento flexible para reducir el pensamiento rígido."
49,"Si te gusta esta historia, ¡guárdala en tus favoritos y vuelve a ella fácilmente! Practicar con situaciones que realmente te surjan hace que el programa sea aún mejor."
55,"A veces, las situaciones no son solo buenas o malas. ¡Las situaciones neutrales nos recuerdan que está bien aceptar la zona gris!"
59,"Con la función de favoritos, ¡puedes guardar las mejores historias que te ayudan a lidiar con la ansiedad! Así, todas tus historias favoritas estarán en un solo lugar y serán fáciles de encontrar."
60,"En el mundo real, a veces las cosas no salen bien. Es importante tener historias con un final negativo para aprender a manejar la ansiedad cuando surgen situaciones negativas."
65,Estas historias están diseñadas para reflejar situaciones cotidianas que puedas enfrentar. ¡Imagínate en estas situaciones y piensa cómo puedes aplicar estas reflexiones a tu vida diaria!
75,Cada pequeño cambio de perspectiva conlleva cambios mayores con el tiempo. ¡Sigue adelante! Estás entrenando tu cerebro para pensar de forma más equilibrada y útil.
85,"Al igual que un músculo, el cerebro fortalece las vías que más utiliza. Por eso, practicar muchas situaciones te ayuda a cambiar tus hábitos de pensamiento."
95,"MindTrails te proporciona el coraje para enfrentar situaciones inciertas, dándote la confianza para abordarlas en la vida real."
105,"Recuerda, MindTrails no sólo cambia tu perspectiva sobre las situaciones que estás leyendo aquí, ¡sino tu perspectiva en la vida real!"
125,"Recuerda, cuanto más practiques pensar en las situaciones de nuevas formas en nuestra aplicación, ¡más podrás pensar positivamente sobre las situaciones aterradoras de tu vida!"
135,"Cuanto más te sumerjas en la historia, más posibilidades tendrás de beneficiarte de nuestro programa: imagínate realmente en la situación en cuestión."
155,"A veces, las situaciones no son solo buenas o malas. ¡Las situaciones neutrales nos recuerdan que está bien aceptar la zona gris!"
165,Estas historias están diseñadas para reflejar situaciones cotidianas que puedas enfrentar. ¡Imagínate en estas situaciones y piensa cómo puedes aplicar estas reflexiones a tu vida diaria!
175,Cada pequeño cambio de perspectiva conlleva cambios mayores con el tiempo. ¡Sigue adelante! Estás entrenando tu cerebro para pensar de forma más equilibrada y útil.
185,"Al igual que un músculo, el cerebro fortalece las vías que más utiliza. Por eso, practicar muchas situaciones te ayuda a cambiar tus hábitos de pensamiento."
195,"MindTrails te proporciona el coraje para enfrentar situaciones inciertas, dándote la confianza para abordarlas en la vida real."
205,"Recuerda, MindTrails no sólo cambia tu perspectiva sobre las situaciones que estás leyendo aquí, ¡sino tu perspectiva en la vida real!"
